id_user,country,area,subareas,degrees,wage_aspiration,currency,current_wage,change_cities,language,years_experience,months_experience,wish_role_name,work_modality,hardskills
45,Colombia,DISEÑO,,,8000000.0,COP,5000000.0,,INGLÉS B2 - INTERMEDIO ALTO,16,,,Indiferente,"DESIGN THINKING,METODOLOGÍAS ÁGILES,DISEÑO UX,AZURE DEVOPS,FIGMA,ADOBE XD,PROTOTIPADO,PROTOTYPE,ANGULAR,TRABAJO EN EQUIPO"
46,Colombia,FINANZAS Y CONTABILIDAD,,,5000000.0,COP,3000000.0,,INGLÉS B2 - INTERMEDIO ALTO,3,,,Indiferente,"ANÁLISIS FINANCIERO,MODELO FINANCIEROS,PLANEACIÓN FINANCIERA,BUSINESS ANALYTICS,GESTIÓN DE PROYECTOS,BILINGÜE,MICROSOFT EXCEL,GOOGLE DATA STUDIO,CONSTRUCCION DE INDICADORES,DATA ANALYSIS"
47,Colombia,COMUNICACIONES,,,2500000.0,COP,2000000.0,,INGLÉS B1 - INTERMEDIO,,,,Medio tiempo,"COMUNICACIÓN ORGANIZACIONAL ,COMUNICACIÓN INTERNA ,PERIODISMO,COMMUNITY MANAGER"
48,Colombia,RECURSOS HUMANOS,,,2000000.0,COP,3500000.0,,INGLÉS C1 - AVANZADO,2,,,Prácticas Laborales,"ENTRENAMIENTO,MICROSOFT OFFICE,CANVA,GOOGLE SUITE,MANEJO DE EQUIPOS,CONOCIMIENTO DEL CLIENTE,ATENCIÓN AL CLIENTE,ADMINISTRACIÓN DE EMPRESAS"
49,Colombia,RECURSOS HUMANOS,,,2500000.0,COP,1000000.0,,INGLÉS C1 - AVANZADO,,,,Prácticas Laborales,"COMUNICACION CORPORATIVA,PLANEACIÓN ESTRATÉGICA,REDACCIÓN Y ORTOGRAFIA,POWER POINT"
50,Colombia,RECURSOS HUMANOS,,,2500000.0,COP,3000000.0,,INGLÉS B2 - INTERMEDIO ALTO,3,6,,Indiferente,"CLIMA,PROGRAMAS DE TALENTOS,MARACA EMPLEADORA,MANEJO STAKEHOLDERS,CONVOCATORIAS MASIVAS,RECLUTAMIENTO DE POSICIONES ALTAS,SELECCIÓN DE PERSONAL,ENGAGEMENT,ENTREVISTAS POR COMPETENCIAS,INVESTIGACIÓN DE MERCADOS"
51,Colombia,MERCADEO,,,5000000.0,COP,4800000.0,,INGLÉS B1 - INTERMEDIO,14,,,Medio tiempo,"ACTIVACIÓN DE MARCA ,PLANEACIÓN,ESTRATEGIA OMNICANAL,TRADE MARKETING,MARKETING ESTRATEGICO,EXPERIENCIA DE SERVICIOS,SERVICIO AL CLIENTE,ESTRATEGÍAS COMERCIALES,ESTRATEGIA DE MERCADEO,PENSAMIENTO ESTRATÉGICO"
52,Colombia,VENTAS COMERCIAL,,,5000000.0,COP,,,INGLÉS B1 - INTERMEDIO,4,,,Medio tiempo,"CRM  ,CIERRE DE VENTAS,ESTRATEGÍAS COMERCIALES,ATENCIÓN AL CLIENTE,VENTA CONSULTIVA,ANÁLISIS DE MERCADO,PROSPECCION,B2B,B2C,VENTA PERSUASIVA"
53,Colombia,RECURSOS HUMANOS,,,4500000.0,COP,4500000.0,,INGLÉS B2 - INTERMEDIO ALTO,13,,,Medio tiempo,
54,Colombia,DISEÑO,,,3500000.0,COP,2800000.0,,INGLÉS B1 - INTERMEDIO,7,,,Indiferente,"ADOBE ILLUSTRATOR,PROCREATE,PHOTOSHOP,LIGHTROOM,CANVA,FINAL CUT PRO,ADOBE PREMIERE,AFTER EFFECTS,WORDPRESS"
55,Colombia,OPERACIONES LOGÍSTICA,,,5000000.0,COP,3000000.0,,INGLÉS C2 - EXCELENTE,5,,,Medio tiempo,
56,Colombia,MERCADEO,,,6500000.0,COP,4500000.0,,INGLÉS C1 - AVANZADO,3,4,,Medio tiempo,"CURSO POSTGRADO EN MARKETING,DIGITAL MARKETING,REDES SOCIALES,PLAN DE MARKETING DIGITAL,ESTRATEGIAS DE POSICIONAMIENTO DIGITAL,CONTENT MARKETING,CREACIÓN DE CONTENIDOS"
57,Colombia,FINANZAS Y CONTABILIDAD,,,5000000.0,COP,4100000.0,,INGLÉS B1 - INTERMEDIO,5,,,Prácticas Laborales,"ANÁLISIS DE DATOS,MICROSOFT EXCEL,MACROS EXCEL,POWER BI,QLIK SENSE,COMPRAS,INFORMES ANALÍTICOS,PENSAMIENTO ANALÍTICO"
58,Colombia,OPERACIONES LOGÍSTICA,,,7000000.0,COP,5010000.0,,INGLÉS C2 - EXCELENTE,13,5,,Indiferente,"GESTIÓN DE PROCESOS DE PRODUCCIÓN.,ALMACENAMIENTO,BODEGA (RECIBOS - DESPACHOS - DEVOLUCIONES),ESPECIALIZADO EN ACONDICIONAMIENTO SECUNDARIO (FINAL DE LÍNEA / EMPAQUES),CREACIÓN DE KPI´S,ENTRENADOR,PLANEACIÓN ESTRATÉGICA"
59,Colombia,RECURSOS HUMANOS,,,5000000.0,COP,2850000.0,,INGLÉS B1 - INTERMEDIO,5,,,Indiferente,"RECLUTAMIENTO,SELECCIÓN DE PERSONAL,CAPACITACIÓN,CULTURA ORGANIZACIONAL,GESTIÓN DEL CICLO DE VIDA DE CONTRATOS (CLM),PROCESOS DISCIPLINARIOS,SEGURIDAD SOCIAL,PAGO DE NÓMINA,ONBOARDING,EMPLOYEE ENGAGEMENT"
60,Colombia,VENTAS COMERCIAL,,,3500000.0,COP,3300000.0,,INGLÉS B1 - INTERMEDIO,3,,,Indiferente,"ESTRATEGÍAS COMERCIALES,PROPUESTAS COMERCIALES,PRESENTACIONES COMERCIALES,NEGOCIACIÓN,FIDELIZACIÓN DE CLIENTES,CONOCIMIENTO DEL CLIENTE,MANEJO DE CLIENTES,GESTIÓN DE CALIDAD,CIERRE DE VENTAS,DESARROLLO DE NUEVOS NEGOCIOS"
61,Colombia,TECNOLOGÍA,,,3500000.0,COP,3100000.0,,INGLÉS B1 - INTERMEDIO,10,,,Indiferente,"SOPORTE TÉCNICO,SOPORTE,REDES Y SERVIDORES,MESA DE AYUDA,HELPDESK,PROGRAMADOR JUNIOR,SQL,POWER BI,MACROS EXCEL,LINUX"
62,Colombia,TECNOLOGÍA,,,2500000.0,COP,,,INGLÉS C1 - AVANZADO,2,,,Prácticas Laborales,"FRONTEND,BACKEND,C#,JAVA,JAVASCRIPT,HTML5,CSS,GIT,GITHUB,.NET CORE"
63,Colombia,OPERACIONES LOGÍSTICA,,,8000000.0,COP,8000000.0,,INGLÉS C1 - AVANZADO,8,,,Indiferente,EJECUTIVO DE CUENTA
64,Colombia,PROYECTOS Y OPERACIONES,,,6000000.0,COP,4000000.0,,INGLÉS B2 - INTERMEDIO ALTO,6,,,Prácticas Laborales,"POWER BI,SQL,MYSQL,GCP,GOOGLE DATA STUDIO,JIRA,PROJECT"
65,Colombia,FINANZAS Y CONTABILIDAD,,,7000000.0,COP,6000000.0,,INGLÉS B2 - INTERMEDIO ALTO,8,,,Medio tiempo,
66,Colombia,MERCADEO,,,7000000.0,COP,5900000.0,,INGLÉS A2 - PRE INTERMEDIO,4,3,,Indiferente,"DIGITAL MARKETING,CURSO POSTGRADO EN MARKETING,USER RESEARCH,RESEARCH,INVESTIGACIÓN DE MERCADOS,CUSTOMER EXPERIENCE,USER JOURNEY,USER TESTING,DISEÑO DE CAMPAÑAS"
67,Colombia,MERCADEO,,,5000000.0,COP,5100000.0,,INGLÉS B1 - INTERMEDIO,5,,,Tiempo completo,"ADMINISTRADORA DE EMPRESAS ,DESARROLLADORA DE MARCA,EJECUTIVA DE CUENTAS,COMERCIAL,ESTRATEGÍAS COMERCIALES"
68,Colombia,GERENCIA DE PROYECTOS CONSULTORIA,,,6000000.0,COP,5000000.0,,INGLÉS B2 - INTERMEDIO ALTO,14,,,Prácticas Laborales,"TRANSFORMACIÓN DIGITAL,EXPERIENCIA DE USUARIO,SERVICIO AL CLIENTE,ADMINISTRACIÓN DE EMPRESAS,METODOLOGÍAS ÁGILES"
69,Colombia,OPERACIONES LOGÍSTICA,,,10000000.0,COP,9000000.0,,INGLÉS B2 - INTERMEDIO ALTO,11,,,Indiferente,"GESTIÓN DE CADENA DE ABASTECIMIENTO,TRABAJO EN EQUIPO,INNOVACIÓN,GESTIÓN DE PROYECTOS,COMPRAS,PLANEACIÓN,PLANEACIÓN ESTRATÉGICA,OPERACIONES,OPERATIONS PLANNING,INVESTIGACIÓN DE MERCADOS"
70,Colombia,MERCADEO,,,8000000.0,COP,11500000.0,,INGLÉS B2 - INTERMEDIO ALTO,7,10,,Indiferente,"ELABORACIÓN DE PRESUPUESTOS,DEFINICIÓN DE MODELOS DE VENTA,ELABORACIÓN DE EVALUACIONES FINANCIERAS,MINERÍA DE DATOS,RETENCIÓN DE CLIENTES,ESTUDIOS DE TIEMPOS Y MOVIMIENTOS,INTELIGENCIA DE NEGOCIOS"
71,Colombia,GERENCIA DE PROYECTOS CONSULTORIA,,,8000000.0,COP,7000000.0,,INGLÉS B1 - INTERMEDIO,15,,,Prácticas Laborales,
72,Colombia,COMUNICACIONES,,,8000000.0,COP,7815000.0,,INGLÉS B1 - INTERMEDIO,11,,,Indiferente,"REDACCIÓN Y ORTOGRAFIA,ESTRATEGIA DE MARCA,RELACIONES PÚBLICAS,COMUNICACION CORPORATIVA,COMUNICACIÓN Y MEDIOS,LIDERAZGO,MEDIA RELATIONS,REDES SOCIALES,GESTIÓN DEL CAMBIO,CREACIÓN DE CONTENIDOS"
73,Colombia,RECURSOS HUMANOS,,,8000000.0,COP,5500000.0,,INGLÉS A2 - PRE INTERMEDIO,7,5,,Prácticas Laborales,"HRBP ,PROCESOS DE JURÍDICO LABORALES ,GESTIÓN DEL CONOCIMIENTO ,CLIMA ,BIENESTAR ,GESTIÓN DEL CAMBIO,TRANSFORMACIÓN CULTURAL,DESARROLLO ORGANIZACIONAL"
74,Colombia,VENTAS COMERCIAL,,,4500000.0,COP,3400000.0,,INGLÉS B2 - INTERMEDIO ALTO,4,,,Medio tiempo,"RELACIONES COMERCIALES,ANÁLISIS DE DATOS,DESARROLLO DE CANALES,CIERRE DE VENTAS,SERVICIO AL CLIENTE,MANEJO DE CLIENTES,FACTURACIÓN,LOGÍSTICA,TRABAJO EN EQUIPO"
75,Colombia,VENTAS COMERCIAL,,,15000000.0,COP,13000000.0,,INGLÉS B1 - INTERMEDIO,15,,,Prácticas Laborales,
76,Colombia,GERENCIA DE PROYECTOS CONSULTORIA,,,8500000.0,COP,7400000.0,,INGLÉS B2 - INTERMEDIO ALTO,9,,,Prácticas Laborales,"PERFORMANCE,PROJECT MANAGEMENT,MICROSOFT PROJECT,SCRUM MASTER,FINANZAS,MANEJO DE PRESUPUESTOS,POWER BI,MICROSOFT EXCEL"
77,Colombia,GERENCIA DE PROYECTOS CONSULTORIA,,,13000000.0,COP,13500000.0,,INGLÉS C1 - AVANZADO,7,,,Prácticas Laborales,"COMUNICACIÓN ASERTIVA,LIDERAZGO,TRABAJO EN EQUIPO,ORGANIZACIÓN,PROBLEM SOLVING,MANEJO DE PRESUPUESTOS"
78,Colombia,DISEÑO,,,10000000.0,COP,6200000.0,,INGLÉS B1 - INTERMEDIO,13,,,Indiferente,"DISEÑO,MARKETING,PUBLICIDAD,ESTRATEGIA DIGITAL Y PAUTA,GESTIÓN DE PROYECTOS"
79,Colombia,VENTAS COMERCIAL,,,9000000.0,COP,6500000.0,,INGLÉS A1 - BÁSICO,12,,,Prácticas Laborales,"SERVICIO AL CLIENTE,ANÁLISIS FINANCIERO,MANTENIMIENTO DE CUENTAS CLAVE,OPERACIONES,RELACIONES COMERCIALES"
80,Colombia,VENTAS COMERCIAL,,,13500000.0,COP,12000000.0,,INGLÉS C2 - EXCELENTE,10,,,Prácticas Laborales,"HOBSPOT,SALESFORCE,CRM  "
81,Colombia,MERCADEO,,,12000000.0,COP,9500000.0,,INGLÉS A1 - BÁSICO,8,,,Prácticas Laborales,"DIGITAL MARKETING,TRANSFORMACION ORGANIZACIONAL,ESTRATEGIAS DE POSICIONAMIENTO DIGITAL,REDES SOCIALES"
82,Colombia,CUSTOMER SERVICE,,,11000000.0,COP,9500000.0,"CIUDAD DE MEXICO,MEDELLIN,CALI,MAZATLAN,CARTAGENA",INGLÉS B1 - INTERMEDIO,8,3,,Indiferente,"LIDERAZGO,ANÁLISIS DE DATOS,INICIATIVA,PROBLEM SOLVING,CUSTOMER EXPERIENCE,LEAN SIX SIGMA,ASEGURAMIENTO CALIDAD"
